Library_Name	Run	Sample_Name	geo_loc_name
7373	SRR1945916	7373	Japan
7377	SRR1945917	7377	USA
7378	SRR1945918	7378	Germany
7382	SRR1945919	7382	Netherlands
7383	SRR1945920	7383	Canada
7384	SRR1945921	7384	Netherlands
7387	SRR1945922	7387	United Kingdom
7394	SRR1945923	7394	Poland
7396	SRR1945924	7396	Russia
7404	SRR1945925	7404	Germany
7411	SRR1945926	7411	Germany
7413	SRR1945927	7413	Lithuania
7415	SRR1945928	7415	Germany
7416	SRR1945929	7416	USA
7417	SRR1945930	7417	Switzerland
7418	SRR1945931	7418	Switzerland
7419	SRR1945932	7419	Germany
7424	SRR1945933	7424	Czech Republic
7427	SRR1945934	7427	Denmark
7430	SRR1945935	7430	France
7460	SRR1945936	7460	Czech Republic
7461	SRR1945937	7461	Czech Republic
7471	SRR1945938	7471	not applicable
7475	SRR1945939	7475	USA
7477	SRR1945940	7477	USA
7514	SRR1945941	7514	USA
7515	SRR1945942	7515	USA
7516	SRR1945943	7516	Sweden
7517	SRR1945944	7517	Sweden
7520	SRR1945945	7520	Czech Republic
7521	SRR1945946	7521	Czech Republic
7523	SRR1945947	7523	USA
7525	SRR1945948	7525	USA
7529	SRR1945949	7529	USA
7530	SRR1945950	7530	USA
7566	SRR1945951	7566	USA
7568	SRR1945952	7568	USA
7717	SRR1945953	7717	USA
7757	SRR1945954	7757	USA
7767	SRR1945955	7767	USA
7917	SRR1945956	7917	USA
7947	SRR1945957	7947	USA
8037	SRR1945958	8037	USA
8057	SRR1945959	8057	USA
8077	SRR1945960	8077	USA
8132	SRR1945961	8132	USA
8171	SRR1945962	8171	USA
8214	SRR1945963	8214	France
8222	SRR1945964	8222	Sweden
8227	SRR1945965	8227	Sweden
8230	SRR1945966	8230	Sweden
8231	SRR1945967	8231	Sweden
8233	SRR1945968	8233	USA
8234	SRR1945969	8234	Sweden
8235	SRR1945970	8235	Czech Republic
8236	SRR1945971	8236	Czech Republic
8237	SRR1945972	8237	Sweden
8238	SRR1945973	8238	United Kingdom
8239	SRR1945974	8239	Germany
8240	SRR1945975	8240	Sweden
8241	SRR1945976	8241	Sweden
8242	SRR1945977	8242	Sweden
8243	SRR1945978	8243	Italy
8244	SRR1945979	8244	France
8246	SRR1945980	8246	USA
8247	SRR1945981	8247	Sweden
8249	SRR1945982	8249	Sweden
8256	SRR1945983	8256	Sweden
8258	SRR1945984	8258	Sweden
8259	SRR1945985	8259	Sweden
8264	SRR1945986	8264	Spain
8283	SRR1945987	8283	Sweden
8284	SRR1945988	8284	Czech Republic
8285	SRR1945989	8285	Czech Republic
8290	SRR1945990	8290	Germany
8297	SRR1945991	8297	Switzerland
8306	SRR1945992	8306	Sweden
8307	SRR1945993	8307	Sweden
8311	SRR1945994	8311	Austria
8312	SRR1945995	8312	Germany
8326	SRR1945996	8326	Sweden
8334	SRR1945997	8334	Sweden
8335	SRR1945998	8335	Sweden
8337	SRR1945999	8337	Italy
8343	SRR1946000	8343	France
8351	SRR1946001	8351	Sweden
8354	SRR1946002	8354	Russia
8357	SRR1946003	8357	Spain
8365	SRR1946004	8365	Czech Republic
8366	SRR1946005	8366	Germany
8369	SRR1946006	8369	Sweden
8376	SRR1946007	8376	Sweden
8386	SRR1946008	8386	Sweden
8387	SRR1946009	8387	Sweden
8419	SRR1946010	8419	Lithuania
8420	SRR1946011	8420	Germany
8422	SRR1946012	8422	Sweden
8424	SRR1946013	8424	India
8426	SRR1946014	8426	Sweden
8427	SRR1946015	8427	Sweden
8464	SRR1946016	8464	USA
8483	SRR1946017	8483	USA
8699	SRR1946018	8699	USA
8723	SRR1946019	8723	USA
9027	SRR1946020	9027	USA
9057	SRR1946021	9057	Sweden
9058	SRR1946022	9058	Sweden
9067	SRR1946023	9067	Azerbaijan
9069	SRR1946024	9069	Azerbaijan
9070	SRR1946025	9070	Azerbaijan
9075	SRR1946026	9075	Azerbaijan
9078	SRR1946027	9078	Azerbaijan
9079	SRR1946028	9079	Azerbaijan
9081	SRR1946029	9081	Azerbaijan
9084	SRR1946030	9084	Azerbaijan
9085	SRR1946031	9085	Azerbaijan
9089	SRR1946032	9089	Azerbaijan
9091	SRR1946033	9091	Azerbaijan
9095	SRR1946034	9095	Azerbaijan
9099	SRR1946035	9099	Azerbaijan
9100	SRR1946036	9100	Georgia
9102	SRR1946037	9102	Georgia
9103	SRR1946038	9103	Georgia
9104	SRR1946039	9104	Georgia
9105	SRR1946040	9105	Georgia
9106	SRR1946041	9106	Georgia
9111	SRR1946042	9111	Georgia
9113	SRR1946043	9113	Georgia
9114	SRR1946044	9114	Georgia
9115	SRR1946045	9115	Georgia
9121	SRR1946046	9121	Georgia
9125	SRR1946047	9125	Armenia
9128	SRR1946048	9128	Armenia
9130	SRR1946049	9130	Armenia
9131	SRR1946050	9131	Armenia
9133	SRR1946051	9133	Armenia
9134	SRR1946052	9134	Armenia
9298	SRR1946053	9298	United Kingdom
9312	SRR1946054	9312	United Kingdom
9314	SRR1946055	9314	United Kingdom
9321	SRR1946056	9321	Sweden
9323	SRR1946057	9323	Sweden
9332	SRR1946058	9332	Sweden
9336	SRR1946059	9336	Sweden
9339	SRR1946060	9339	Sweden
9343	SRR1946061	9343	Sweden
9352	SRR1946062	9352	Sweden
9353	SRR1946063	9353	Sweden
9363	SRR1946064	9363	Sweden
9369	SRR1946065	9369	Sweden
9370	SRR1946066	9370	Sweden
9371	SRR1946067	9371	Sweden
9380	SRR1946068	9380	Sweden
9381	SRR1946069	9381	Sweden
9382	SRR1946070	9382	Sweden
9383	SRR1946071	9383	Sweden
9386	SRR1946072	9386	Sweden
9388	SRR1946073	9388	Sweden
9390	SRR1946074	9390	Sweden
9391	SRR1946075	9391	Sweden
9392	SRR1946076	9392	Sweden
9394	SRR1946077	9394	Sweden
9395	SRR1946078	9395	Sweden
9399	SRR1946079	9399	Sweden
9402	SRR1946080	9402	Sweden
